公司,職缺,工作內容,福利制度,薪水
大數據股份有限公司,大數據研究中心研究員,"工作內容：
1. 民意調查、市場調查之規劃、執行、分析與報告撰寫。
2. 撰寫期刊論文。
3. 尋找研究議題。
4. 能獨立進行研究能力。
5. 具備政策科學專長，並熟悉調查訪問、傳播研究、經驗政治、計量方法者優先考量。
6. 面試者請附上論文著作目錄及主要學術成就


工作條件：
1. 有寫中英論文的經驗
2  熟悉 G-suite 或 Endnote / Mendeley ，具科學文獻搜索整理能力操作者佳
3. 熟悉民意調查、市場調查之規劃與執行
4. 熟悉SPSS、SAS、STATA統計軟體
5. 有民意調查、市場調查、訪員管理經驗者，優先錄用
6. 能夠有效地向大眾說明複雜的概念
7. 能夠跨部門進行有效率的團隊合作
8. 樂於在多任務且快節奏的動態環境中工作
9. 具備進階心理計量及統計相關經驗如貝式統計(Bayesian statistics)，認知診斷模型(Cognitive Diagnosis Models)或機器學習領域尤佳
10. 熟練分析工具如  R 或 Python 等優先","樂在學習，樂於分享

包山包海的免費零食飲料
正職員工享有：
每月慶生活動
每季員工聚餐
每半年員工旅遊
每年國外尾牙旅遊
每年員工高階健康檢查
員工採購電腦補助
員工在職進修補助
每月績效獎金、年終獎金、結婚禮金、生育禮金
週休二日、年度特休",待遇面議
台北神策諮詢顧問有限公司,大數據實施工程師,"工作職掌：
1.參與客戶需求及數據調研，數據對接方案設計；
2.參與項目實施工作，協助客戶完成數據接入工作；
3.為客戶提供技術支持，解決客戶使用 API 以及數據處理工具時遇到的問題；
4.準確底將客戶需求傳達給產品研發團隊，並進行必要的整理和歸納。

職務要求：
1.資訊相關系所畢業，有一年以上的實施、測試或者開發經驗；
2.有大數據相關經驗者優先；
3.邏輯清晰，有工程師思維和較強的協同工作能力；
4.快速學習能力，主動性強。","福利制度
1、競爭力薪酬獎金制度
我們提供優渥的薪資水準、年終績效獎金。
2、員工保險
除法定保險外，我們更提供員工完善的醫療團體保險，給予更貼心的全面照護。
3、優秀人才內部推薦獎勵
我們希望可以找到願意志同道合一起打拼的好夥伴，透過推薦獎金制度為神策注入新的能量。
4、訓練發展
我們鼓勵員工不斷精進學習，經常會舉辦內部教育訓練、內部案例分享及研討會、不定期邀約海內外優秀的講者互動與分享。
5、多元福利活動與津貼
我們提供三節禮金或禮品，並不定期舉辦多元化的聚餐與團隊活動、提供辦公室免費飲料、茶點，給夥伴們隨時滿滿的精力。
6、國際化職場環境
與大陸、海外大數據分析領域的研發、行銷與管理優秀同仁相互學習、共同成長，快速提升國際視野及競爭力。

**歡迎優秀小夥伴，火速加入我們**",待遇面議
群益金鼎證券股份有限公司,【資訊】大數據分析人員,"若您對大數據分析與運用有高度興趣，且具備顧客經營/行銷策略規劃能力，歡迎加入我們，成為金融Fintech領航家。

職務說明：
1.整合內部資料庫及外部數據、建置精準行銷模型及篩選精準行銷名單
2.協助發展顧客經營/行銷策略，進行成效分析及優化
3.例行資料整理及報告，不定期專案開發執行","＊ 公司福利制度：
01. 週休二日
02. 年終獎金
03. 節慶獎金 (非業務人員) / 業績獎金 (業務人員)
04. 教育訓練 (員工教育訓練費補助 / 金融專題講座 / E-learning 系統)
05. 專業證照獎勵金
06. 家庭日 (如：登山健行活動)
07. 完善的升遷制度
08. 團體保險 (壽險、意外險、意外醫療險)
09. 定期員工健康檢查
10. 視障按摩服務
＊ 福委會福利措施：
01. 各項津貼 (旅遊、結婚、生育、住院、喪葬)
02. 特約商品 / 商店優惠
03. 優惠電影票選購",待遇面議
91APP_九易宇軒股份有限公司,Big Data Solution PO 大數據應用產品經理,"工作內容：
-發展零售大數據相關應用，協助帶動零售業客戶成長。
-依據公司策略目標，規劃並制定短中長期產品Roadmap，並依據市場變動及客戶需求，決定資源投入與功能發布之優先順序。
-做為數據產品的PO，依Agile/Scrum方式發展產品，帶領整個數據團隊(含數據分析師，數據工程師，資料科學家，統計專家)，並為產品成敗負責。
-與其他產品團隊的產品PO協作，溝通協調，有效提供其他產品團隊數據相關的支援與資源。
-與公司其他部門協作，溝通協調，有效支援其他單位數據相關需求，加速業務發展。

91APP專注發展零售業，協助中大型零售業品牌進行數位轉型，進入新零售時代。我們協助客戶掌握全通路的全景數據，包含全通路完整交易數據，全通路會員資料，以及會員的行為資料(到訪, 瀏覽, 搜尋, 加入購物車等)， 加上流量來源數據等，透過完整的資料搜集，協助客戶了解品牌經營全貌，發展全方面的監控報表，並透過數據模型對會員進行分群，精準行銷，同時導入AI與機器學習相關技術，透過預測, 類似受眾, 推薦商品等，協助品牌從全通路的全景數據中，找到成長的動能，挖出數據金礦。","◆ 新人到職第一年即享有""首年假""
◆ 職工福委會
◆ 端午禮金、中秋禮金
◆ 結婚禮金、生育津貼、喪葬補助
◆ 公司補助飲料販賣機(零食、飲品、鮮奶等)
◆ 咖啡無限量供應
◆ 每季員工聚餐補助、部門活動補助
◆ 員工健康檢查
◆ 各部門教育訓練補助
◆ 社團活動補助
◆ 勞保/健保/團險
◆ 特約健身房免費入場
◆ 專職護理人員",待遇面議
集太科技有限公司,大數據分析師,"1、資料庫維護
2、開發智慧製造應用大數據分析演算法與功能模組
3、與系統團隊合作將功能模組整合成為整體解決方案
4、配合產業需求進行分析服務診斷
5、具大數據分析經驗者","◆獎金福利 1.三節獎金 2.年薪14個月 
◆休假福利 1.週休二日 2.特休假 3.女員工產假 4.男員工陪產假 5.生日假
◆保險福利 1.勞保 2.健保 3.員工體檢
◆餐飲福利 1.午餐費 2.零食櫃
◆交通福利 1.車資補助(因公務外出)
◆娛樂福利 1.國內旅遊 2.國外旅遊 3.員工聚餐
◆補助福利 1.結婚補助 2.喪葬補助",待遇面議
艾斯移動股份有限公司,大數據工程師,"工作內容
1. 針對Large scale streaming and unstructured data去規劃設計公司服務平台之資料架構。 
2. 執行公司資源數據分析專案與任務，並資訊視覺化報表與簡報產出。 
3. 規劃、實做與維護公司之數據分析平台。 
4. 開發與維護新的預測模型。  
5. 資料庫優化及日常維運。 
6. 負責規劃、實做與維護為研究數據所建立之POC環境。 
7. 與開發人員合作，改進數據收集程序，並將機器學習算法推向正式環境。 
8. 與產品經理合作設置數據產品策略。 
9. 負責帶領其他初級數據工程師。 

應徵條件
1. 能即時了解最新的大數據架構，機器學習平台和開源工具，並與團隊分享。 
2. 有接受過程式語言的基礎訓練，如Java、Python、R等，擇一即可。  
3. 具演算法或機器/深度學習等數據建模能力尤佳（加分）。  
4. 有實際產品上線經驗（加分）。 
5. 有經歷過敏捷開發流程（加分）。

*本職務可接受實習及兼職，一週須安排 3 天以上全日班，能力與工作內容面談。
","▍ 上班時間
   09:00~18:00 (午休 1 小時)，上下班時間彈性

▍ 工作環境
   距離捷運大安站步行僅需 10分鐘，捷運、公車都方便
   辦公室座落於敦化南路林蔭大道，環境愜意優雅
   舒適開放的美式辦公空間
   互相尊重、講求效率與信任的工作氣氛，與優秀的夥伴們一起激盪與成長、共同邁向卓越。

▍ 員工福利
   具市場競爭力的薪資
   優於勞基法的特休天數，讓你工作休息平衡
   員工旅遊及生日禮金，讓你適時放鬆，寵愛自己一下
   教育訓練與進修補助，讓我們一起成長為更強的團隊
   每月慶生會，辦公室零食定期補充
   標準的勞保、健保、退休金提撥
   內部員工推薦獎金","月薪60,000~85,000元"
BitAsset_亞太易安特科技有限公司,大數據技術總監 - Big Data Technical Director,"1. 負責公司資料系統的整體架構設計。
2. 資料庫、大數據平台、報表視覺化的搭建及研發。
3. 按時完成各個業務和產品部門的資料服務需求，持續優化現有的平台架構。
4. 負責數據團隊的招聘、組織架構設計及團隊培養和日常管理。
5. 帶領團隊設計並開發具有創新價值的大數據分析平台。
","-優於勞基法的休假制度。
-符合新世代作息的彈性上下班制度。
-午休最長可休息90分鐘 
-結婚、生育、喪葬、住院津貼。 
-不定期員工聚餐。
-除內部定期舉辦教育訓練之外，另提供職務相關外部訓練補助，鼓勵同仁進修。
-豐富多元的活動
-不定期海外參訪。
-點心零食櫃隨時補滿。",待遇面議
中華系統整合股份有限公司,大數據技術專員,"協助客戶Help Desk業務管理執行、軟硬體監控&故障報修、原因分析、問題追蹤、改善等等，各類IT專案支援與電腦與週邊設備之操作及管理等工作，資訊系統監控與異常處理管理, 支援部門任務
***駐點某電信園區，負責大數據系統維運，可於工作中學習最新資訊技術與大型專案流程。","CSI 除了符合勞動基準法規定之勞健保勞退金、年休假和周休二日外，我們還提供以下福利措施： 
- 員工團體保險 
- 員工年度健康檢查 
- 績效及三節獎金 
- 生日禮金
- 婚喪喜慶補助 
- 生育津貼、育嬰假 
(定期契約,部分工時人員,專案人員 依勞動契約另定之)
","月薪31,000~60,000元"
晶峰科技有限公司,大數據工程師,"(1) 數據清洗(ETL)與創建所需的Data Pipeline
(2) 維護並優化現有數據倉庫模型
(3) 與數據分析師協作建立數據模型","晶峰人的福利 
1.年終獎金2個月，讓你歡喜迎新年。
2.第一年就有10天特休(按在職比例)，滿五年更有多達20天的假期讓你放鬆充電。
3.每年旅遊補助是標配，休息是為了走更長遠的路。
4.我們注重你的健康，每年為你安排健康檢查，確保你頭好壯壯。
5.除了三節禮金外，還有各種節慶與團建活動，給你愉快的工作氛圍。
6.依據職涯規畫給予各式培訓是基本(新人訓、技術、業務、軟技能、管理)。
7.下班後想跟同事聯絡感情？我們有每月活動津貼及每季電影票，讓你們從同事變好友。 
8.兩個24吋的大螢幕讓你工作更方便，不會寫code寫到鬥雞眼。
9.還有個經常會自己長出零食的置物櫃，幫你補充滿滿的能量。
10.生日不再孤單一個人，我們每個月都有慶生會，生日禮金是一定要有的。
11.我們還提供1小時彈性上下班時間，方便你避開壅擠的人潮/車潮。
12.覺得我們很不錯，推薦親友一起來加入還有推薦獎金哦。
想知道更多？歡迎你來面試時我們再聊!!
",待遇面議
香港商慧科訊業有限公司台灣分公司,[R&D] 大數據後端工程師/軟體研發工程師,"大數據後端工程師/軟體研發工程師

我們正在尋找對於開發大數據及AI產品充滿熱情，並且樂於溝通、討論、分享與團隊合作的夥伴。

【工作說明】 
• 在雲端或者本地集群構建可擴展的數據處理流水線
• 規劃大數據的處理策略，流程優化及效率的提升
• 與團隊成員共同將公司AI技術透過容器擴展轉化為可處理大規模數據的產品與服務
• 獨立、快速、高品質完成核心程式的編寫

【任職要求】 
• 具有大數據相關技術經驗，比如 Spark、Kafka、Hadoop 等
• 三年以上Java 或 Python 相關工作經驗
• 熟悉 AWS 等雲端平臺及相關服務
• 了解 Docker 及 Kubernetes 相關技術
• 優秀的口頭與書面交流與表達能力
• 良好的團隊協作能力

• 加分項目：
- 熟悉 Scrum、Git、CI/CD
- 熟悉 Scala
- 熟悉 MongoDB 或 Hbase、Hive 等存儲系統","1. 週休二日
2. 人性化管理、安全舒適之工作環境，辦公室設於台北市精華地段
3. 到職滿3個月即享5天特休，滿一年再享10天特休
4. 完善的考評制度
5. 節慶活動
6. 歡樂點心區

慧科相信員工是公司最寶貴的資源，我們持續的成功是建立在團隊工作上的。有您的加入，發揮您的才幹，我們才能為客戶提供最專業、最快捷及最優化的服務。 誠摯邀請最優秀、最具潛質、喜愛吸收新知識及對工作有熱誠的人才加入本公司，發展個人事業。",待遇面議
動力安全資訊股份有限公司,大數據 高級工程師,"透過Big Data相關的技術，結合雲端服務，分析網路、作業系統、資訊安全事件、應用系統、電子商務，從資料中發掘價值，協助企業營運及發展。
這份工作的內容，包括整體系統的規劃及建置、資料分析、各種世界級解決方案的整合應用、程式的開發撰寫，雲端服務的整合應用；會接觸到的產業，主要包括金融業、高科技業及政府單位。因此，除了技術本身的發展以外，您可以透過這份工作，累積各種Domain Knowledge。
無論您是否具有相關經驗(大數據、程式撰寫、系統、網路、資安等等)，只要有志朝Big Data專業領域發展，我們誠摯地邀請您一起共創未來！","員工是動力安全 (Dynasafe)發展過程中最重要的經營夥伴，我們致力提供每位優秀同仁優渥的薪資福利措施，並持續不斷優化，期待有理想且想尋找舞臺發揮的您，一同與動力安全 (Dynasafe)共創願景。

●　薪資／獎金　【協助員工生活品質有正向的保障】
　-優於業界薪資水平
　-年度營運績效獎金
　-人才推薦獎金
　
●　訓練發展　【提供完整訓練體系，協助員工發展職能競爭力】
　-建置專門學習中心，安排新人循序漸進且完整的基礎工作技能課程訓練。
　-安排專任員工協助初階員工進行各項在職訓練 (OJT)計畫，確保學習成效。
　-依據員工職能發展及學習成效表現，提供跨領域專業技能的完整培訓，培養多面向專業技術及管理專才。
　-編列高額預算提供重點培訓員工辦理外部專業課程、認證或技術研討會等發展方案，以精進專業技能並持續成長。
　-提供員工各項軟性且貼近生活的課程／講座／研習會，提升員工生活／心靈層面的成長。

●　保險　【提昇保障，維護員工人身安全，提供生活及經濟的穩定】
　-勞保、健保、勞退提撥
　-員工團體保險，保費由公司全額負擔(含壽險、意外險及住院醫療險)
　-加強型高額度出差旅行平安保險

●　出勤／休假　【期待員工樂在工作，享受生活】
　-週休二日
　-人性化出勤管理

●　福利補助　【貼近關懷員工生活，提升滿意度，期待創造勞雇雙贏，共享成果】
　-三節禮金/禮品
　-婚喪喜慶補助
　-生育禮金/生日禮券
　-定期免費員工健康檢查
　-技術／業務同仁行動電話費用補助
　-員工旅遊
　-社團活動
　-公司週年慶及年終尾牙活動
　-員工慶生餐會",待遇面議
晶峰科技有限公司,大數據工程師(Senior),"(1) 數據清洗(ETL)與創建所需的Data Pipeline
(2) 維護並優化現有數據倉庫模型
(3) 與數據分析師協作建立數據模型","晶峰人的福利 
1.年終獎金2個月，讓你歡喜迎新年。
2.第一年就有10天特休(按在職比例)，滿五年更有多達20天的假期讓你放鬆充電。
3.每年旅遊補助是標配，休息是為了走更長遠的路。
4.我們注重你的健康，每年為你安排健康檢查，確保你頭好壯壯。
5.除了三節禮金外，還有各種節慶與團建活動，給你愉快的工作氛圍。
6.依據職涯規畫給予各式培訓是基本(新人訓、技術、業務、軟技能、管理)。
7.下班後想跟同事聯絡感情？我們有每月活動津貼及每季電影票，讓你們從同事變好友。 
8.兩個24吋的大螢幕讓你工作更方便，不會寫code寫到鬥雞眼。
9.還有個經常會自己長出零食的置物櫃，幫你補充滿滿的能量。
10.生日不再孤單一個人，我們每個月都有慶生會，生日禮金是一定要有的。
11.我們還提供1小時彈性上下班時間，方便你避開壅擠的人潮/車潮。
12.覺得我們很不錯，推薦親友一起來加入還有推薦獎金哦。
想知道更多？歡迎你來面試時我們再聊!!
",待遇面議
亞洲指標數位行銷顧問股份有限公司,輿情大數據分析與議題研究助理,"若你符合以下條件，歡迎加入我們：
1.使用系統觀察社群輿論傳播的動向。
2.利用系統進行大數據分析，並從數據中解讀事件發展脈絡。
3.熟悉台灣各大主要網路新聞、社群平台，平日有瀏覽論壇習慣。
4.工作需要經常使用PPT、Word表達觀察結果。
5.需具備企劃提案和報告解說能力。
6.需要經常和顧客面對面溝通。
7.個性外向、熱情，經常保持笑臉。
8.工作需自備筆記型電腦。",勞保，健保，員工團體保險，車資補助，員工意外險，教育訓練，業績獎金，週休二日，員工旅遊,"月薪28,000~40,000元"
艾得基客行銷顧問股份有限公司,Java/Python/Go 大數據平台工程師,"Java/Python/Go 大數據平台工程師

adGeek艾得基客是一家專注於網路廣告優化及行銷整合的互聯網公司。目前我們團隊處於高速開發產品的時間，產品的功能相當多，可以玩與嚐試的東西很多，特別是架構面的東西，如消息隊列、大數據架構、設計模式、OAuth/SSO認證系統等。此外，團隊中也有不同領域的夥伴可以一同學習與分享，包含AI, 大數據，API平台等。

工作職责:
1. 開發穩健可擴充的後端系統
2. 根據公司產品需要不斷提高產品用戶體驗和更好的實現產品規劃目標
3. 根據技術部門要求完成技術研究工作，並輸出研究成果和推動成果實作。

任職資格:
1.大學以上學歷，1年以上(含)的Python/Java/Go後端開發經驗
2.精通web開發後端框架，至少一個(Django/Pyramid/Spring/STRUS2)
3.至少瞭解一種關聯式資料庫（ MySQL/MariaDB/Percona/Oracle/SQL Server等）的開發經驗；熟悉至少一種NoSQL資料庫者優先(MongoDB/Cassandra/Dynamal)；
4.知道io，分布式、快取、消息隊列、搜索等機制；
5.有ETL經驗者佳 (kafka/RabbitMQ/SPARK/Apache Storm/Apache Kylin/Apache Nifi/Hadooop/Druid/Elastic Search/Flume/Fluentd/logstash)
6.熟悉常用的資料結構和演算法
7.使用過AWS/GCP經驗者佳

所以，我們希望即將成為我們夥伴的你(妳)，可以具備以下特質:

1. 你(妳)必須對於技術有著極大的熱情 
2. 你(妳)可以輕鬆的面對工作，但不可以沒有責任心 
3. 你(妳)可以展現個人能力，但不可以特異獨行

概括來說，為了提供給公司業務及產品更完整的支持，對於廣告的相關知識，我們有完整的教育訓練，你(妳)不必擔心。我們更期待你(妳)能夠與團隊成員合作、溝通，擁有面對挑戰的決心與毅力以及對於網路廣告服務無限的熱情， 主動積極地向我們推薦自己，我們將誠摯歡迎你(妳)的加入。","工作環境 at adGeek
》透明開放的溝通文化 - 還有1 on 1的機制
》交通便利的地理位置 - 位在信義敦南商圈，坐擁敦南樹海
》明亮、開放式的氛圍 - 工業風的辦公環境，年輕有活力的工作氣氛及夥伴們
》舒適的員工交誼區 - 按摩椅幫你舒緩疲勞壓力，給你滿滿的精神與活力
》貼心的哺乳室及孩童遊戲室 - 媽咪的專屬哺乳空間，我們也歡迎小小家屬下課來訪

正職員工福利 at adGeek
》優於法令的給假 - 加入第一天即享有15天，將按在職比例給假；每年7天全薪病假
》歡樂主題尾牙 - 每年不一樣的dress code，讓你發揮你的創意變裝
》員工旅遊 - 不定期大手筆的國內外員工旅遊
》Team Building - 玩好玩滿，享受跟同事的快樂時光
》每月慶生會 - 絕對不會忘記你的生日
》滿滿的零食區 - 咖啡、茶飲及零食餅乾讓你工作時肚子不空虛
》貼心的保障 - 執行及非執行勤務期間都有保險當你的防護網
》健康諮詢室 - 專業護理師及醫師定期駐點，提供健康諮詢與協助",待遇面議
格程科技有限公司,大數據研發工程師(台大),"本職務主要是格程科技作為台灣大學價創計畫的顧問團隊，協助團隊進行人才招募。
[團隊介紹]
本團隊是國立臺灣大學資工系林風特聘教授團隊，本團隊使用時序分析與深度學習等AI相關技術，在缺乏目標系統的domain-know-how的情況下，為客戶提供系統異常檢測/預測與資料之產業顧問等問題提供精確的解決方案。
本團隊已與中華電信、台灣大哥大等多家大型企業合作，前景可期，歡迎富有挑戰性的你/妳與本團隊一起成長。
我們誠摯歡迎對物聯網、AI、數據分析領域有興趣的研發人員加入我們團隊。

[職務介紹]
本職務主要工作內容：
-  大數據資料處理，自動化各種資料流、串接各種平台數據、串連第三方服務API。
-  資料庫維運監控、管理、規劃(預存程式編寫、資料表建立與正規化)
-  資料庫物件開發與配合前端程式開發系統
-  工作待遇：月薪 50,000~80,000元

[工作職能需求]
-  熟悉Python/Java/Scala語法和開發經驗。
-  熟悉資料處理方法  (numpy, pandas, matplotlib) 和相關資料庫 (InfluxDB, Kafka,..)
-  熟悉MySQL、NoSQL Database或其他資料庫語言

[加分項目]
-  細心、負責任，態度積極，溝通能力佳，且具備獨立作業能力 
- 有相關經歷優先錄取

[其他]
工作性質：全職
上班地點：台北市大安區公館
休假制度：週休二日
每日工時：8小時
學歷要求：大學以上、電機電子工程相關、通信學類、資訊工程相關
語文條件：英文讀寫流利",,待遇面議
美商視龍有限公司台灣分公司,大數據軟體工程師 (月薪10萬-20萬),"Advanced Programming for Cloud Computing (月薪10萬-20萬)
Build Big Data Analytics Solution
大數據分析","Performance cash bonus
Incentive stock options
Employee group insurance
Labor and health insurance
Flexible working hour
Flexible vacation","月薪80,000~200,000元"
北祥科技服務股份有限公司,大數據分析工程師(創新部門),"創新部門：大數據分析、AI相關、客服機器人
1.大數據分析資料庫規劃
2.大數據資料分析
3.預測模型建置(使用R/Python)
4.資料視覺化呈現及網頁開發相關技術
5.主管交辦專案其他事項","◆ 獎金 / 禮品類
1.年終績效獎金/業績達成獎金
2.中秋/端午禮金或禮品
3.生日禮券

◆ 保險類
1.勞保/健保/勞工退休金提撥6%
2.免費員工本人團保(意外險/職災保險)/眷屬團保優惠
3.活動公共意外責任險

◆ 制度類
1.依公司營運狀況及個人表現發放績效獎金
2.依公司營運狀況與個人表現進行調薪
3.教育訓練(內/外部)
4.順暢的升遷管道
5.員購筆電補助方案

◆ 請 / 休假制度
1.彈性上下班制度(08:30-17:30、09:00-18:00)及午休時間75鐘(12:00-13:15)
2.週休二日/國定假日
3.特休/加班換補休
4.男性陪產假五天
5.女性生理假半薪三天/年、育嬰假、產檢假
6.員工健康檢查每三年一次且提供半天公假，另每年體檢優惠方案

◆ 休閒類
1.生育禮金、結婚禮金、喪葬、住院慰問禮品
2.國內旅遊補助/家庭日
3.國外旅遊補助(萬元補助金，依各活動及同仁在職年資） 
4.公司、部門聚餐
5.年度慶生會
6.社團活動補助
7.免費按摩舒壓服務
8.台北總部員工提供室內機車停車場
9.茶水間(微波爐、電鍋、烤箱、冰箱、飲水機)、免治馬桶
10.各期報章雜誌提供(ex.天下雜誌、商業週刊、貿易雜誌等)
11.不定期員工福利活動
(ex.尾牙/春酒聚餐及摸彩、聖誕節、勞動節發放電影票、團康活動、電影欣賞、程式設計兒童夏令營、黑客松活動、外部名人演講、健康講座、理財講座等)
12.特約商店(ex.幼兒園優惠、連鎖咖啡店、餐飲店、銀行貸款優惠、購物網等)

◆ 獎勵
1.資深及優秀員工表揚
2.專案慶功宴

◆ 交通便利
1.捷運站：走路約10分鐘(劍南站、西湖站)
2.公車：走路約3分鐘(文湖國小站、美麗華站)
3.Ubike租借站：公司大門對面50公尺

更多精彩內容就在北祥科技服務股份有限公司粉絲團 https://www.facebook.com/ptsc.taiwan/",待遇面議
